,Unnamed: 0,LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital,Prompt
0,0.0,NuExtract:0.5B,8,11,9,24.0,58.536585365853654,68.57142857142857,63.1578947368421,46.15384615384615,huggingface,hospital1,
1,1.0,NuExtract:2B,7,4,9,32.0,66.66666666666666,88.88888888888889,76.19047619047619,61.53846153846154,huggingface,hospital1,
2,2.0,NuExtract:2B,1,9,8,34.0,79.06976744186046,79.06976744186046,79.06976744186046,65.38461538461539,huggingface,hospital2,
3,3.0,NuExtract:0.5B,1,18,9,24.0,70.58823529411765,57.14285714285714,63.15789473684211,46.15384615384615,huggingface,hospital2,
4,4.0,GLiNER:NuNerZero,0,28,0,6.0,37.5,11.538461538461538,17.64705882352941,11.538461538461538,gliner,hospital1,
5,5.0,GLiNER:NuNerZero,0,22,0,9.0,52.94117647058824,17.307692307692307,26.086956521739125,17.307692307692307,gliner,hospital2,
6,6.0,llama3.23b,4,18,3,27.0,79.41176470588235,60.0,68.35443037974683,51.92307692307693,ollama,hospital1,Normal
7,7.0,qwen2.5vl3b,6,30,0,16.0,72.72727272727273,34.78260869565217,47.05882352941176,30.76923076923077,ollama,hospital1,Normal
8,8.0,granite3.2,9,19,6,18.0,54.54545454545454,48.64864864864865,51.42857142857142,34.61538461538461,ollama,hospital1,Normal
9,9.0,gemma31b-it-qat,2,22,7,21.0,70.0,48.837209302325576,57.53424657534246,40.38461538461539,ollama,hospital1,Normal
10,10.0,qwen31.7b,11,16,0,25.0,69.44444444444444,60.97560975609756,64.93506493506493,48.07692307692308,ollama,hospital1,Normal
11,11.0,gemma34b,7,19,2,24.0,72.72727272727273,55.81395348837209,63.15789473684211,46.15384615384615,ollama,hospital1,Normal
12,12.0,llama3.21b,1,13,11,27.0,69.23076923076923,67.5,68.35443037974683,51.92307692307693,ollama,hospital1,Normal
13,13.0,qwen31.7b,13,11,0,28.0,68.29268292682927,71.7948717948718,70.00000000000001,53.84615384615385,ollama,hospital2,Normal
14,14.0,gemma34b,1,22,1,28.0,93.33333333333331,56.00000000000001,70.0,53.84615384615385,ollama,hospital2,Normal
15,15.0,granite3.2,1,20,14,17.0,53.125,45.94594594594595,49.275362318840585,32.69230769230769,ollama,hospital2,Normal
16,16.0,llama3.21b,1,19,15,17.0,51.51515151515152,47.22222222222222,49.27536231884058,32.69230769230769,ollama,hospital2,Normal
17,17.0,llama3.23b,1,20,3,28.0,87.5,58.333333333333336,70.0,53.84615384615385,ollama,hospital2,Normal
18,18.0,qwen2.5vl3b,1,25,2,24.0,88.88888888888889,48.97959183673469,63.157894736842096,46.15384615384615,ollama,hospital2,Normal
19,19.0,gemma31b-it-qat,2,29,3,18.0,78.26086956521739,38.297872340425535,51.42857142857143,34.61538461538461,ollama,hospital2,Normal
20,20.0,qwen2.5vl3b*ImageInput*,7,19,3,23.0,69.6969696969697,54.761904761904766,61.33333333333333,44.230769230769226,ollama_vision,hospital1,Normal
21,21.0,granite3.2*ImageInput*,1,13,16,22.0,56.41025641025641,62.857142857142854,59.45945945945946,42.30769230769231,ollama_vision,hospital1,Normal
