,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Parsed,Hospital,Prompt,Distressed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NuExtract:4B,8.0,28.0,8.0,12.0,42.857142857142854,30.0,35.29411764705882,25.0,True,fakeHospital1,,False
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NuExtract:4B,8.0,28.0,8.0,12.0,42.857142857142854,30.0,35.29411764705882,25.0,True,fakeHospital1,,True
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,NuExtract:4B,1.0,25.0,9.0,14.0,58.333333333333336,35.8974358974359,44.44444444444445,29.166666666666668,True,fakeHospital2,,False
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NuExtract:4B,1.0,24.0,11.71,12.29,49.16,33.86607880958942,40.10442160221896,25.604166666666668,True,fakeHospital2,,True
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,NuExtract:4B,14.0,33.0,6.0,9.0,31.03448275862069,21.428571428571427,25.35211267605634,18.75,True,CHEO,,True
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,NuExtract:4B,14.0,33.0,4.7,10.3,35.51724137931035,23.78752886836028,28.492392807745507,21.458333333333336,True,CHEO,,False
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,NuExtract:4B,11.0,31.0,3.0,14.0,50.0,31.11111111111111,38.35616438356164,29.166666666666668,True,Hamilton,,False
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,NuExtract:4B,11.0,31.0,6.0,11.0,39.285714285714285,26.190476190476193,31.428571428571427,22.916666666666664,True,Hamilton,,True
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,NuExtract:4B,12.0,32.0,6.0,10.0,35.714285714285715,23.809523809523807,28.571428571428573,20.833333333333336,True,Kingston,,False
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,NuExtract:4B,12.0,32.0,8.0,8.0,28.57142857142857,20.0,23.52941176470588,16.666666666666664,True,Kingston,,True
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,NuExtract:4B,14.0,34.0,4.0,10.0,35.714285714285715,22.727272727272727,27.77777777777778,20.833333333333336,True,LHSC,,False
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,NuExtract:4B,16.0,37.0,5.0,6.0,22.22222222222222,13.953488372093023,17.142857142857142,12.5,True,LHSC,,True
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,NuExtract:4B,12.0,34.0,6.7,7.3,28.076923076923077,17.675544794188863,21.693907875185737,15.208333333333332,True,MtSinai,,True
