LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital
qwen2.5vl3b,24.0,32.0,15.0,47.0,66.19718309859155,59.49367088607595,62.666666666666664,53.40909090909091,Ollama,hospital1
gemma31b-it-qat,10.0,25.0,4.0,57.0,85.07462686567165,69.51219512195121,76.51006711409396,64.77272727272727,Ollama,hospital1
granite3.32b,43.0,39.0,13.0,18.0,29.50819672131147,31.57894736842105,30.508474576271183,20.454545454545457,Ollama,hospital1
llama3.21b,3.0,38.0,1.0,47.0,94.0,55.294117647058826,69.62962962962962,53.40909090909091,Ollama,hospital1
qwen2.5vl3b,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,Ollama,hospital2
llama3.21b,16.0,45.0,3.0,29.0,64.44444444444444,39.189189189189186,48.739495798319325,32.95454545454545,Ollama,hospital2
granite3.32b,3.0,25.0,1.0,61.0,95.3125,70.93023255813954,81.33333333333333,69.31818181818183,Ollama,hospital2
gemma31b-it-qat,10.0,28.0,9.0,59.0,85.5072463768116,67.81609195402298,75.64102564102562,67.04545454545455,Ollama,hospital2
gpt-4.1-nano,19.0,22.0,7.0,54.0,73.97260273972603,71.05263157894737,72.48322147651007,61.36363636363637,OpenAI,hospital1
gpt-4o-mini,16.0,19.0,4.0,57.0,78.08219178082192,75.0,76.51006711409396,64.77272727272727,OpenAI,hospital1
gpt-4o-mini,14.0,35.0,13.0,52.0,78.78787878787878,59.77011494252874,67.97385620915033,59.09090909090909,OpenAI,hospital2
gpt-4.1-nano,11.0,35.0,10.0,52.0,82.53968253968253,59.77011494252874,69.33333333333333,59.09090909090909,OpenAI,hospital2
qwen2.5:72b,9.0,8.0,0.0,71.0,88.75,89.87341772151899,89.30817610062894,80.68181818181817,OpenRouter,hospital1
gemini-2.0,12.0,9.0,4.0,71.0,85.54216867469879,88.75,87.11656441717791,80.68181818181817,OpenRouter,hospital1
llama-4-scout,8.0,10.0,0.0,70.0,89.74358974358975,87.5,88.60759493670886,79.54545454545455,OpenRouter,hospital1
devstral-small,20.0,11.0,10.0,67.0,77.01149425287356,85.8974358974359,81.21212121212122,76.13636363636364,OpenRouter,hospital1
devstral-small,8.0,9.0,7.0,78.0,90.69767441860463,89.65517241379311,90.17341040462428,88.63636363636364,OpenRouter,hospital2
gemini-2.0,8.0,8.0,5.0,77.0,90.58823529411764,90.58823529411764,90.58823529411764,87.5,OpenRouter,hospital2
qwen2.5:72b,9.0,8.0,5.0,76.0,89.41176470588236,90.47619047619048,89.94082840236686,86.36363636363636,OpenRouter,hospital2
llama-4-scout,6.0,20.0,3.0,65.0,91.54929577464787,76.47058823529412,83.33333333333333,73.86363636363636,OpenRouter,hospital2
qwen2.5:72b,10.0,6.0,1.0,73.0,87.95180722891565,92.40506329113924,90.12345679012346,82.95454545454545,OpenRouter,hospital1
gemini-2.0,10.0,7.0,3.0,74.0,88.09523809523809,91.35802469135804,89.6969696969697,84.0909090909091,OpenRouter,hospital1
llama-4-scout,7.0,8.0,1.0,74.0,91.35802469135804,90.2439024390244,90.79754601226992,84.0909090909091,OpenRouter,hospital1
gemini-2.0,13.0,15.0,7.0,67.0,83.75,81.70731707317073,82.71604938271605,76.13636363636364,OpenRouter,hospital2
llama-4-scout,88.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,OpenRouter,hospital2
qwen2.5:72b,3.0,3.0,2.0,84.0,96.55172413793105,96.55172413793105,96.55172413793105,95.45454545454544,OpenRouter,hospital2
qwen2.5vl3b*ImageInput*,31.0,30.0,13.0,40.0,56.33802816901409,57.14285714285714,56.737588652482266,45.45454545454545,Ollama,hospital1
gemma34b*ImageInput*,23.0,35.0,12.0,42.0,64.61538461538461,54.54545454545454,59.154929577464785,47.72727272727273,Ollama,hospital1
gemma34b*ImageInput*,36.0,51.0,36.0,37.0,50.68493150684932,42.04545454545455,45.96273291925466,42.04545454545455,Ollama,hospital2
qwen2.5vl3b*ImageInput*,1.0,1.0,1.0,87.0,98.86363636363636,98.86363636363636,98.86363636363636,98.86363636363636,Ollama,hospital2
gpt-4.1-nano*ImageInput*,0.0,34.0,0.0,53.0,100.0,60.91954022988506,75.71428571428572,60.22727272727273,OpenAi,hospital1
gpt-4o-mini*ImageInput*,1.0,34.0,0.0,52.0,98.1132075471698,60.46511627906976,74.82014388489209,59.09090909090909,OpenAi,hospital1
gpt-4o-mini*ImageInput*,1.0,44.0,0.0,42.0,97.67441860465117,48.837209302325576,65.11627906976743,47.72727272727273,OpenAi,hospital2
gpt-4.1-nano*ImageInput*,5.0,44.0,5.0,43.0,89.58333333333334,49.42528735632184,63.7037037037037,48.86363636363637,OpenAi,hospital2
