model,field
NuExtract,analysis_type
NuExtract,chromosome
NuExtract,date_collected
NuExtract,date_received
NuExtract,gene_symbol
NuExtract,gene_symbol
NuExtract,hgvsg
NuExtract,mafaf
NuExtract,mega_hgvs
NuExtract,report_type
NuExtract,testing_context
NuExtract,testing_laboratory
NuExtract,transcript_id
NuExtract,variant_id
NuExtract,analysis_type
NuExtract,chromosome
NuExtract,gene_symbol
NuExtract,gene_symbol
NuExtract,hgvsg
NuExtract,mafaf
NuExtract,mega_hgvs
NuExtract,ordering_clinic
NuExtract,reference_genome
NuExtract,report_type
NuExtract,sequencing_scope
NuExtract,testing_context
NuExtract,testing_laboratory
NuExtract,transcript_id
NuExtract,variant_id
NuExtract,zygosity
NuExtract,analysis_type
NuExtract,chromosome
NuExtract,date_collected
NuExtract,date_verified
NuExtract,gene_symbol
NuExtract,gene_symbol
NuExtract,hgvsg
NuExtract,mafac
NuExtract,mafan
NuExtract,mega_hgvs
NuExtract,report_type
NuExtract,testing_context
NuExtract,testing_laboratory
NuExtract,transcript_id
NuExtract,variant_id
NuExtract,analysis_type
NuExtract,chromosome
NuExtract,date_collected
NuExtract,gene_symbol
NuExtract,gene_symbol
NuExtract,hgvsg
NuExtract,mafaf
NuExtract,mega_hgvs
NuExtract,report_type
NuExtract,testing_context
NuExtract,testing_laboratory
NuExtract,transcript_id
NuExtract,variant_id
NuExtract,analysis_type
NuExtract,gene_symbol
NuExtract,gene_symbol
NuExtract,mafaf
NuExtract,num_variants
NuExtract,ordering_clinic
NuExtract,report_type
NuExtract,sample_type
NuExtract,sequencing_scope
NuExtract,testing_context
NuExtract,testing_laboratory
NuExtract,variant_id
NuExtract,analysis_type
NuExtract,chromosome
NuExtract,date_collected
NuExtract,date_received
NuExtract,gene_symbol
NuExtract,gene_symbol
NuExtract,hgvsg
NuExtract,mafaf
NuExtract,mega_hgvs
NuExtract,report_type
NuExtract,testing_context
NuExtract,testing_laboratory
NuExtract,transcript_id
NuExtract,variant_id
NuExtract,analysis_type
NuExtract,chromosome
NuExtract,gene_symbol
